Report Refresh Date,Storage Used (Byte),Report Date,Report Period
2021-01-26,103012968,2021-01-26,90
2021-01-26,103023698,2021-01-25,90
2021-01-26,102606463,2021-01-24,90
2021-01-26,102522016,2021-01-23,90
2021-01-26,102532472,2021-01-22,90
2021-01-26,102006450,2021-01-21,90
2021-01-26,102006450,2021-01-20,90
2021-01-26,102002112,2021-01-19,90
2021-01-26,101979930,2021-01-18,90
2021-01-26,101754087,2021-01-17,90
2021-01-26,101750233,2021-01-16,90
2021-01-26,101392029,2021-01-15,90
2021-01-26,101391818,2021-01-14,90
2021-01-26,101315214,2021-01-13,90
2021-01-26,101292145,2021-01-12,90
2021-01-26,101138900,2021-01-11,90
2021-01-26,100633984,2021-01-10,90
2021-01-26,100477194,2021-01-09,90
2021-01-26,100485398,2021-01-08,90
2021-01-26,99116663,2021-01-07,90
2021-01-26,99116663,2021-01-06,90
2021-01-26,98997943,2021-01-05,90
2021-01-26,98848821,2021-01-04,90
2021-01-26,98741001,2021-01-03,90
2021-01-26,98745171,2021-01-02,90
2021-01-26,98740893,2021-01-01,90
2021-01-26,98652502,2020-12-31,90
2021-01-26,98690895,2020-12-30,90
2021-01-26,98695085,2020-12-29,90
2021-01-26,98545881,2020-12-28,90
2021-01-26,98350104,2020-12-27,90
2021-01-26,98351287,2020-12-26,90
2021-01-26,98368804,2020-12-25,90
2021-01-26,98024469,2020-12-24,90
2021-01-26,97921934,2020-12-23,90
2021-01-26,97917660,2020-12-22,90
2021-01-26,97764607,2020-12-21,90
2021-01-26,97508849,2020-12-20,90
2021-01-26,97504575,2020-12-19,90
2021-01-26,97500301,2020-12-18,90
2021-01-26,97500301,2020-12-17,90
2021-01-26,97188016,2020-12-16,90
2021-01-26,97188016,2020-12-15,90
2021-01-26,96816884,2020-12-14,90
2021-01-26,96556516,2020-12-13,90
2021-01-26,96547960,2020-12-12,90
2021-01-26,96471662,2020-12-11,90
2021-01-26,96166790,2020-12-10,90
2021-01-26,96160853,2020-12-09,90
2021-01-26,96009858,2020-12-08,90
2021-01-26,95913376,2020-12-07,90
2021-01-26,95624419,2020-12-06,90
2021-01-26,95258634,2020-12-05,90
2021-01-26,95254360,2020-12-04,90
2021-01-26,95250086,2020-12-03,90
2021-01-26,95245812,2020-12-02,90
2021-01-26,95145258,2020-12-01,90
2021-01-26,94988243,2020-11-30,90
2021-01-26,94803479,2020-11-29,90
2021-01-26,94813997,2020-11-28,90
2021-01-26,94810919,2020-11-27,90
2021-01-26,94726648,2020-11-26,90
2021-01-26,94722374,2020-11-25,90
2021-01-26,94718098,2020-11-24,90
2021-01-26,94414421,2020-11-23,90
2021-01-26,94161310,2020-11-22,90
2021-01-26,93792799,2020-11-21,90
2021-01-26,93579200,2020-11-20,90
2021-01-26,93579200,2020-11-19,90
2021-01-26,93574926,2020-11-18,90
2021-01-26,93419109,2020-11-17,90
2021-01-26,93423428,2020-11-16,90
2021-01-26,93176867,2020-11-15,90
2021-01-26,93153767,2020-11-14,90
2021-01-26,93043125,2020-11-13,90
2021-01-26,92899464,2020-11-12,90
2021-01-26,92809492,2020-11-11,90
2021-01-26,92765677,2020-11-10,90
2021-01-26,92506671,2020-11-09,90
2021-01-26,92298762,2020-11-08,90
2021-01-26,92294162,2020-11-07,90
2021-01-26,91952746,2020-11-06,90
2021-01-26,91967538,2020-11-05,90
2021-01-26,91935028,2020-11-04,90
2021-01-26,91900831,2020-11-03,90
2021-01-26,91631011,2020-11-02,90
2021-01-26,91208668,2020-11-01,90
2021-01-26,91200325,2020-10-31,90
2021-01-26,91172094,2020-10-30,90
2021-01-26,90950079,2020-10-29,90
