Report Refresh Date,Site Type,Storage Used (Byte),Report Date,Report Period
2021-01-26,OneDrive,7241704,2021-01-26,90
2021-01-26,All,7241704,2021-01-26,90
2021-01-26,OneDrive,7241704,2021-01-25,90
2021-01-26,All,7241704,2021-01-25,90
2021-01-26,OneDrive,7241704,2021-01-24,90
2021-01-26,All,7241704,2021-01-24,90
2021-01-26,OneDrive,7241704,2021-01-23,90
2021-01-26,All,7241704,2021-01-23,90
2021-01-26,OneDrive,7241704,2021-01-22,90
2021-01-26,All,7241704,2021-01-22,90
2021-01-26,OneDrive,7241704,2021-01-21,90
2021-01-26,All,7241704,2021-01-21,90
2021-01-26,OneDrive,7241704,2021-01-20,90
2021-01-26,All,7241704,2021-01-20,90
2021-01-26,OneDrive,7241704,2021-01-19,90
2021-01-26,All,7241704,2021-01-19,90
2021-01-26,OneDrive,7241704,2021-01-18,90
2021-01-26,All,7241704,2021-01-18,90
2021-01-26,OneDrive,5550952,2021-01-17,90
2021-01-26,All,5550952,2021-01-17,90
2021-01-26,OneDrive,5550952,2021-01-16,90
2021-01-26,All,5550952,2021-01-16,90
2021-01-26,OneDrive,5550952,2021-01-15,90
2021-01-26,All,5550952,2021-01-15,90
2021-01-26,OneDrive,5550952,2021-01-14,90
2021-01-26,All,5550952,2021-01-14,90
2021-01-26,OneDrive,5550952,2021-01-13,90
2021-01-26,All,5550952,2021-01-13,90
2021-01-26,OneDrive,5550952,2021-01-12,90
2021-01-26,All,5550952,2021-01-12,90
2021-01-26,OneDrive,5550952,2021-01-11,90
2021-01-26,All,5550952,2021-01-11,90
2021-01-26,OneDrive,5550952,2021-01-10,90
2021-01-26,All,5550952,2021-01-10,90
2021-01-26,OneDrive,5550952,2021-01-09,90
2021-01-26,All,5550952,2021-01-09,90
2021-01-26,OneDrive,5550952,2021-01-08,90
2021-01-26,All,5550952,2021-01-08,90
2021-01-26,OneDrive,5550952,2021-01-07,90
2021-01-26,All,5550952,2021-01-07,90
2021-01-26,OneDrive,5550952,2021-01-06,90
2021-01-26,All,5550952,2021-01-06,90
2021-01-26,OneDrive,5550952,2021-01-05,90
2021-01-26,All,5550952,2021-01-05,90
2021-01-26,OneDrive,5550952,2021-01-04,90
2021-01-26,All,5550952,2021-01-04,90
2021-01-26,OneDrive,5550952,2021-01-03,90
2021-01-26,All,5550952,2021-01-03,90
2021-01-26,OneDrive,5550952,2021-01-02,90
2021-01-26,All,5550952,2021-01-02,90
2021-01-26,OneDrive,5550952,2021-01-01,90
2021-01-26,All,5550952,2021-01-01,90
2021-01-26,OneDrive,5550952,2020-12-31,90
2021-01-26,All,5550952,2020-12-31,90
